Ft,Fs,Depth
0.3959,32.671,10.251
0.3985,32.817,10.261
0.39884,32.961,10.272
0.39952,33.104,10.283
0.40002,33.249,10.295
0.39974,33.392,10.303
0.39986,33.539,10.309
0.40079,33.687,10.321
0.40036,33.837,10.329
0.40215,33.987,10.339
0.40237,34.135,10.349
0.40189,34.284,10.361
0.40217,34.438,10.375
0.40181,34.589,10.388
0.40037,34.737,10.396
0.39788,34.887,10.405
0.39794,35.038,10.415
0.39917,35.194,10.435
0.39989,35.347,10.447
0.40056,35.503,10.462
0.40099,35.66,10.476
0.39946,35.816,10.489
0.4005,35.974,10.503
0.39913,36.132,10.521
0.3991,36.292,10.534
0.39954,36.452,10.55
0.39791,36.611,10.563
0.39848,36.775,10.576
0.39854,36.941,10.587
0.39978,37.107,10.599
0.39805,37.277,10.62
0.39894,37.447,10.638
0.3981,37.616,10.653
0.39933,37.784,10.672
0.39899,37.953,10.687
0.39952,38.128,10.703
0.40122,38.304,10.717
0.40256,38.482,10.734
0.40436,38.658,10.747
0.40482,38.835,10.767
0.4059,39.01,10.783
0.40623,39.188,10.798
0.40621,39.368,10.818
0.40654,39.546,10.836
0.40654,39.728,10.853
0.4083,39.914,10.879
0.40861,40.093,10.891
0.40937,40.281,10.912
0.40926,40.467,10.93
0.41031,40.66,10.952
0.41144,40.852,10.967
0.41149,41.041,10.982
0.41226,41.228,11
0.41468,41.418,11.021
0.41457,41.609,11.039
0.41575,41.805,11.07
0.41623,42.005,11.099
0.41676,42.199,11.117
0.41629,42.396,11.136
0.41763,42.594,11.163
0.41866,42.797,11.194
0.41991,42.997,11.217
0.41962,43.194,11.241
0.41914,43.396,11.264
0.42053,43.601,11.295
0.41997,43.802,11.325
0.4209,44.004,11.352
0.42131,44.205,11.379
0.42141,44.408,11.397
0.42207,44.614,11.427
0.42101,44.817,11.456
0.42161,45.022,11.486
0.42356,45.227,11.515
0.42392,45.436,11.541
0.42434,45.648,11.581
0.42432,45.856,11.616
0.4244,46.063,11.643
0.42499,46.273,11.671
0.42627,46.487,11.697
0.4254,46.699,11.736
0.42528,46.915,11.77
0.42724,47.13,11.796
0.42882,47.343,11.827
0.4294,47.555,11.857
0.43048,47.772,11.889
0.43132,47.993,11.923
0.43312,48.215,11.953
0.43397,48.434,11.975
0.43431,48.653,12.013
0.43484,48.873,12.047
0.43338,49.1,12.075
0.4337,49.324,12.105
0.43479,49.55,12.145
0.43566,49.777,12.18
0.43581,50.002,12.194
0.4368,50.228,12.221
0.43812,50.46,12.254
0.43833,50.694,12.285
0.43939,50.929,12.309
0.43922,51.165,12.346
0.44036,51.405,12.371
0.44113,51.642,12.394
0.44111,51.879,12.417
0.44145,52.12,12.438
0.44037,52.359,12.459
0.44132,52.598,12.48
0.44214,52.842,12.502
0.44374,53.085,12.524
0.44379,53.334,12.546
0.4442,53.586,12.568
0.44575,53.838,12.591
0.44705,54.095,12.613
0.44628,54.354,12.635
0.44687,54.606,12.657
0.44742,54.853,12.679
0.44734,55.102,12.702
0.44784,55.337,12.692
0.44872,55.569,12.676
0.44995,55.791,12.662
0.4501,56.008,12.649
0.4501,56.214,12.638
0.45064,56.423,12.628
0.4475,56.62,12.622
0.44606,56.819,12.616
0.44713,57.016,12.607
0.4469,57.215,12.599
0.44809,57.405,12.588
0.44856,57.598,12.581
0.44822,57.791,12.573
0.44973,57.987,12.566
0.44949,58.181,12.557
0.45021,58.373,12.551
0.45093,58.561,12.544
0.45141,58.747,12.536
0.45078,58.932,12.527
0.44993,59.111,12.519
0.44946,59.293,12.51
0.44852,59.471,12.501
0.44915,59.649,12.493
0.44957,59.816,12.484
0.44994,59.987,12.473
0.45022,60.16,12.467
0.45104,60.333,12.458
0.452,60.506,12.45
0.45291,60.68,12.443
0.45269,60.854,12.434
0.45283,61.027,12.426
0.45235,61.203,12.419
0.45264,61.373,12.411
0.45324,61.542,12.403
0.45299,61.709,12.395
0.45351,61.875,12.388
0.45208,62.039,12.379
0.45093,62.208,12.372
0.45031,62.376,12.365
0.45075,62.539,12.357
0.45004,62.703,12.35
0.44888,62.87,12.343
0.44881,63.04,12.337
0.44839,63.211,12.332
0.44867,63.385,12.329
0.45008,63.556,12.324
0.44978,63.726,12.317
0.44981,63.898,12.313
0.45004,64.074,12.309
0.44931,64.248,12.303
0.44845,64.425,12.298
0.45003,64.6,12.295
0.45115,64.776,12.291
0.45034,64.952,12.288
0.44945,65.13,12.285
0.44832,65.307,12.282
0.44704,65.487,12.277
0.44603,65.663,12.274
0.44505,65.836,12.269
0.44576,66.009,12.266
0.44552,66.176,12.261
0.4461,66.336,12.257
0.44591,66.491,12.252
0.44642,66.642,12.249
0.44608,66.783,12.243
0.44601,66.918,12.235
0.44502,67.054,12.23
0.44465,67.187,12.224
0.44377,67.319,12.217
0.44514,67.452,12.212
0.44478,67.581,12.207
0.44402,67.712,12.201
0.44477,67.843,12.195
0.44516,67.968,12.187
0.44484,68.099,12.18
0.44471,68.229,12.173
0.44384,68.356,12.167
0.44432,68.48,12.159
0.44488,68.605,12.152
0.44571,68.729,12.146
0.44609,68.856,12.14
0.4467,68.981,12.134
0.44714,69.1,12.126
0.44765,69.221,12.12
0.44744,69.34,12.113
0.44641,69.466,12.106
0.44795,69.592,12.1
0.44822,69.718,12.093
0.44788,69.845,12.087
0.44813,69.972,12.082
0.44834,70.099,12.076
0.44865,70.227,12.071
0.44738,70.361,12.066
0.44649,70.488,12.06
0.44572,70.619,12.057
0.44486,70.748,12.053
0.44524,70.883,12.049
0.44653,71.012,12.044
0.44763,71.147,12.04
0.44782,71.281,12.036
0.44782,71.416,12.032
0.44871,71.555,12.028
0.44786,71.694,12.026
0.44786,71.832,12.024
0.44934,71.963,12.021
0.4486,72.099,12.017
0.44738,72.243,12.016
0.44735,72.381,12.012
0.44768,72.525,12.011
0.44773,72.664,12.008
0.44735,72.807,12.007
0.44757,72.951,12.005
0.44804,73.099,12.005
0.44806,73.246,12.004
0.44683,73.393,12.004
0.44661,73.546,12.005
0.44794,73.701,12.006
0.44707,73.853,12.006
0.44833,74.003,12.007
0.44709,74.156,12.006
0.44749,74.315,12.009
0.44627,74.474,12.01
0.44651,74.635,12.013
0.44733,74.789,12.015
0.44801,74.948,12.018
0.44771,75.103,12.02
0.44937,75.266,12.023
0.44941,75.427,12.027
0.45039,75.592,12.031
0.45078,75.753,12.034
0.45107,75.918,12.038
0.45116,76.082,12.042
0.45128,76.246,12.046
0.45097,76.41,12.051
0.45133,76.58,12.057
0.45123,76.749,12.063
0.45206,76.918,12.07
0.45142,77.086,12.075
0.45264,77.259,12.081
0.45401,77.429,12.087
0.45354,77.598,12.093
0.45413,77.769,12.1
0.45401,77.944,12.108
0.45338,78.114,12.115
0.45471,78.285,12.122
0.45335,78.458,12.128
0.45285,78.628,12.136
0.45252,78.803,12.144
0.45337,78.977,12.152
0.45404,79.152,12.162
0.4545,79.323,12.17
0.45394,79.494,12.178
0.45279,79.664,12.188
0.4525,79.835,12.196
0.45297,80.004,12.205
0.45363,80.174,12.215
0.45407,80.345,12.225
0.45332,80.514,12.235
0.45163,80.683,12.248
0.45198,80.853,12.26
0.45246,81.013,12.271
0.45272,81.165,12.282
0.45143,81.307,12.291
0.45154,81.447,12.302
0.45285,81.576,12.311
0.45347,81.705,12.321
0.45343,81.826,12.329
0.45452,81.919,12.34
0.45478,81.995,12.35
0.45436,82.041,12.36
0.45365,82.081,12.371
0.45331,82.1,12.382
0.45502,82.107,12.393
0.45596,82.11,12.405
0.4564,82.094,12.415
0.4577,82.074,12.425
0.45849,82.047,12.435
0.45667,82.012,12.444
0.45592,81.978,12.454
0.45701,81.939,12.463
0.45684,81.895,12.473
0.45709,81.844,12.482
0.45816,81.791,12.49
0.45895,81.742,12.497
0.46109,81.692,12.507
0.46253,81.641,12.517
0.46236,81.581,12.526
0.46357,81.529,12.534
0.46404,81.473,12.544
0.46455,81.406,12.552
0.46342,81.343,12.56
0.46271,81.279,12.568
0.4643,81.218,12.578
0.46552,81.159,12.588
0.46533,81.096,12.598
0.46525,81.033,12.607
0.46547,80.967,12.615
0.46421,80.9,12.624
0.46522,80.837,12.634
0.46635,80.771,12.643
0.46786,80.699,12.652
0.46981,80.631,12.659
0.4713,80.566,12.667
0.47448,80.499,12.678
0.47607,80.438,12.689
0.47603,80.37,12.697
0.47729,80.303,12.706
0.4792,80.231,12.715
0.47878,80.165,12.723
0.47928,80.098,12.732
0.47875,80.03,12.741
0.47899,79.96,12.75
0.47948,79.892,12.759
0.48095,79.821,12.768
0.4834,79.748,12.777
0.48269,79.675,12.785
0.48246,79.601,12.792
0.4815,79.528,12.8
0.4826,79.449,12.807
0.4822,79.374,12.816
0.48204,79.296,12.824
0.48313,79.222,12.833
0.48459,79.145,12.844
0.48409,79.065,12.851
0.48279,78.984,12.859
0.48298,78.899,12.866
0.48358,78.818,12.872
0.48307,78.739,12.879
0.48452,78.661,12.888
0.48472,78.58,12.896
0.48543,78.495,12.903
0.48619,78.412,12.911
0.48817,78.326,12.918
0.48769,78.24,12.925
0.48792,78.154,12.932
0.48811,78.066,12.938
0.4888,77.98,12.944
0.48827,77.886,12.949
0.48828,77.793,12.955
0.48939,77.703,12.963
0.48935,77.615,12.968
0.48822,77.526,12.976
0.48761,77.435,12.984
0.48697,77.338,12.989
0.48715,77.242,12.995
0.48885,77.147,13.002
0.49099,77.051,13.007
0.49134,76.954,13.013
0.4903,76.856,13.018
0.49037,76.761,13.024
0.49004,76.664,13.03
0.49109,76.564,13.036
0.49082,76.465,13.042
0.4922,76.366,13.049
0.49197,76.266,13.054
0.49241,76.165,13.061
0.49365,76.062,13.067
0.49464,75.955,13.073
0.49623,75.852,13.079
0.49588,75.748,13.084
0.49593,75.641,13.09
0.49634,75.531,13.094
0.49668,75.422,13.099
0.49745,75.316,13.105
0.50005,75.206,13.112
0.49976,75.096,13.118
0.49995,74.979,13.122
0.5004,74.868,13.128
0.50201,74.754,13.134
0.50166,74.639,13.14
0.50029,74.524,13.145
0.50016,74.414,13.152
0.50077,74.298,13.157
0.50174,74.179,13.161
0.50237,74.056,13.167
0.50354,73.937,13.173
0.50368,73.819,13.179
0.50232,73.703,13.186
0.50279,73.586,13.192
0.5009,73.466,13.197
0.50044,73.348,13.204
0.49933,73.228,13.21
0.49873,73.11,13.217
0.49987,72.989,13.224
0.49999,72.867,13.228
0.49941,72.746,13.234
0.49955,72.624,13.241
0.50067,72.501,13.247
0.50118,72.377,13.252
0.50128,72.25,13.256
0.5019,72.127,13.263
0.50232,72,13.268
0.50429,71.876,13.275
0.50491,71.751,13.282
0.50514,71.621,13.288
0.50381,71.496,13.295
0.50399,71.37,13.301
0.50517,71.238,13.306
0.50404,71.111,13.312
0.50397,70.982,13.319
0.50449,70.854,13.325
